economy,time,bx_gsr_gnfs_cd,en_pop_slum_ur_zs,ne_imp_gnfs_kn,ny_gdp_mktp_cd,si_dst_02nd_20,si_dst_03rd_20,si_dst_04th_20,si_dst_05th_20,si_dst_10th_10,si_dst_50md,si_dst_frst_10,si_dst_frst_20,si_pov_dday,si_pov_gaps,si_pov_gini,si_pov_lmic,si_pov_lmic_gp,si_pov_mdim,si_pov_mdim_17,si_pov_mdim_17_xq,si_pov_mdim_fe,si_pov_mdim_hh,si_pov_mdim_it,si_pov_mdim_ma,si_pov_mdim_xq,si_pov_nahc,si_pov_umic,si_pov_umic_gp,si_spr_pc40,si_spr_pc40_zg,si_spr_pcap,si_spr_pcap_zg,sl_tlf_0714_zs,sp_ado_tfrt,sp_dyn_le00_fe_in,sp_dyn_le00_ma_in
ASM,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2002,,,1053000000.0,512000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2003,,,1046000000.0,524000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2004,,,911000000.0,509000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2005,,,912000000.0,500000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2006,,,878000000.0,493000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2007,,,845000000.0,518000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2008,,,863000000.0,560000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2009,,,751000000.0,675000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2010,,,668000000.0,573000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2011,,,621000000.0,570000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,2012,,,646000000.0,640000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
